index|VINHO|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
61|Touriga Francesa|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6775|4680|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
62|Touriga Nacional|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26448|52099|42376|127462|101376|131833|97629|189928|133820|136565|86460|136611|53552|108245|122015|nd|150166|38910|TINTAS
63|Tinta Madeira|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2508|1733|179|1493|0|54|0|0|0|0|0|0|0|0|0|0|0|1300|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
64|Tintoria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21260|0|14930|0|0|14526|7218|0|0|0|0|3035|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
65|Trincdeira|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3996|5780|3591|255|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
66|Trousseau|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16019|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
67|Zinfandel|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|198|41460|45226|70341|310520|1567535|1216093|1816589|2500275|2517495|1885121|1011625|1689415|593579|84271|189989|140148|74289|60875|1541|479|0|0|0|0|372|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
68|Outras1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7690|10833|15000|620|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
70|Aliatico|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1587|1850|444|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
71|Aligote|530|1000|1969|0|618|5009|372|0|720|0|0|482|590|756|938|0|0|0|0|0|0|0|0|0|0|53465|0|0|23716|0|0|0|90|0|0|0|0|0|0|0|0|2640|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
72|Altesse|0|0|0|0|0|0|0|0|0|248|550|5430|11086|12938|15903|36111|43477|8556|39549|42682|40662|18270|31166|24592|28012|13250|110708|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
73|Alvarinho|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|476|1596|0|2477|1071|1675|1088|6668|5081|12413|16147|9860|16369|41225|32647|nd|46574|242238|BRANCAS E ROSADAS
74|Arriloba|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17439|26135|0|36661|34696|32954|49339|45825|27410|22832|51380|35375|33750|38390|40000|28829|31140|34120|17070|5280|2580|nd|2940|0|BRANCAS E ROSADAS
75|Auxerrois|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2020|0|3057|0|0|0|980|640|0|0|0|361|616|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
76|Burger|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2665|20591|0|4280|0|0|0|0|18394|12215|17093|14640|25067|12295|14427|13028|6507|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
77|Chardonnay|0|0|0|0|0|0|0|0|0|0|0|766|2590|12370|17191|191484|352746|396887|1016199|1379927|1310807|2185942|3127459|4940497|6118355|3271043|3402706|4745010|2966716|1501537|2873611|2197800|1604484|1568275|1745396|4441390|1830171|1752488|5829449|4812743|3836555|4916344|6347044|6174156|5821514|7253167|3070142|7856910|6068902|nd|6514864|4200465|BRANCAS E ROSADAS
78|Chasselas|0|0|13255|0|0|0|271|0|0|916|1524|18384|44280|34988|48466|160169|123305|100699|189452|249408|239011|114585|135893|171949|113748|112411|126389|130461|80410|267566|179914|89938|113502|53094|84254|103057|111200|48268|58390|32425|47099|29543|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
79|Chenin Blanc|0|0|0|0|0|0|0|0|0|0|0|0|228|14681|14678|40276|110067|97373|226826|217512|386466|504502|383916|515270|461153|557814|493923|588756|398013|492063|496981|343919|231841|44622|386277|519802|400160|355185|362750|347230|73720|212900|257090|264090|146760|173321|60580|266524|387360|nd|465377|49100|BRANCAS E ROSADAS
80|Clairette(1)|146617|116887|120166|94006|116154|139266|144596|87281|86242|86382|29871|52133|67028|5834|11168|13929|12182|910|0|0|754|0|0|0|5228|0|153092|0|0|0|0|0|0|0|0|0|0|0|0|0|0|949|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
81|Colombard|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14480|23000|32200|28460|38460|26500|89500|128370|117660|0|203100|0|171673|282698|343181|276372|208977|153359|451264|654642|518836|593625|879719|717624|479201|445104|773273|673158|563589|512199|201659|535573|522866|nd|467614|97713|BRANCAS E ROSADAS
82|Flora|0|0|0|0|0|0|0|0|0|0|0|0|0|28568|28570|53233|52143|73563|132433|163005|184768|212220|335242|423725|345158|476088|346727|585629|311974|496779|581824|452383|215546|323181|259473|339979|251511|176396|176229|131760|35860|37620|68260|72410|45240|25090|1050|5810|2060|nd|0|0|BRANCAS E ROSADAS
83|Garganega|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|53010|45800|35110|16970|8530|3170|0|0|0|0|0|0|0|0|0|nd|540|439160|BRANCAS E ROSADAS
84|Gewurztraminer|0|0|0|0|0|0|0|0|0|0|0|1008|1258|2438|8573|88037|206986|314215|740238|1266410|1616040|1648915|1220343|1663736|1206405|751049|844959|838944|417301|293892|474897|291364|161367|92344|253539|315932|142266|284818|196483|155338|105186|206833|327678|239469|162083|207303|85385|223350|208171|nd|192058|3201453|BRANCAS E ROSADAS
85|Gouveio|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|596|1452|5312|5848|2090|7830|4358|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
86|Gros Manseng|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1744|4360|2500|5770|1800|3289|4430|7220|0|4640|4830|7410|0|5680|2430|nd|6296|0|BRANCAS E ROSADAS
87|Italia (Pirovano 65) (PE)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2650|2230|6405|61799|5671|40230|37820|0|180|2942|nd|200|1858705|BRANCAS E ROSADAS
88|Maccabeo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3558|0|17670|0|0|0|nd|0|0|BRANCAS E ROSADAS
89|Malvasia|878012|611457|763732|645868|795847|1405733|332150|378085|1068838|1747354|2115375|1614552|2522725|1526008|1886676|3422293|2261265|1526629|3392751|3428752|3945671|2006859|2279929|2986640|2786463|2855822|1587944|1957293|1718461|1184410|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
90|Malvasia Amarela|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27040|0|0|0|0|175917|400884|326928|228062|160402|169923|184579|61112|94281|131350|153905|251587|107015|115147|519959|149663|119930|10100|44445|52936|nd|24440|3980|BRANCAS E ROSADAS
91|Malvasia Bianca|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2046|12319|16474|18306|34816|0|0|0|40689|4710|0|1792354|785519|637835|407387|350631|359199|192862|191316|325942|281064|49176|138608|119122|184949|414603|602081|217177|629101|574521|nd|494343|1165104|BRANCAS E ROSADAS
92|Malvasia Chianti|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18411|24030|14705|15235|4730|0|2142|0|0|5061|7632|0|1314|0|0|nd|0|0|BRANCAS E ROSADAS
