Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
21|Hong Kong|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2607|283|0|0|0|0|0|0|72|0|ESPUMANTES
22|Hungria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|675|387|657|0|0|0|0|0|0|0|404|1020|518|0|1238|1624|1802|585|765|1142|ESPUMANTES
23|Indonesia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|35|66|0|0|ESPUMANTES
24|Irlanda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|391|0|0|0|0|0|0|ESPUMANTES
25|Israel|0|360|0|27|0|0|0|450|0|180|585|360|360|270|720|0|909|765|0|0|0|0|0|0|0|0|0|0|0|0|0|450|1152|1890|1935|4968|2250|5220|1350|0|1224|990|310|0|0|0|0|0|0|5035|296|0|ESPUMANTES
26|Itália|0|554|5054|5854|24637|22782|11917|19995|7119|16234|20932|17290|32542|9000|2430|12456|20355|16640|31077|26802|24120|35118|17241|132449|232676|230441|203645|162568|234227|498453|488816|1009289|1484899|1209558|1033793|1092021|1410249|1236636|1051675|693765|1079836|1137610|1123066|978230|1095148|1017420|1089617|3065767|2147490|1874314|1524542|1093108|ESPUMANTES
27|Luxemburgo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|252|0|0|0|0|0|208|518|0|0|ESPUMANTES
28|Mexico|0|0|0|0|0|0|0|8122|0|0|0|0|0|0|4158|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|396|0|0|0|0|1154|0|0|95|133|0|0|ESPUMANTES
29|Nova Zelândia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|315|630|720|135|270|180|450|135|0|0|0|72|0|0|ESPUMANTES
30|Paises Baixos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|305|827|3412|0|ESPUMANTES
31|Panama|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15057|0|0|0|ESPUMANTES
32|Peru|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|305|0|0|0|0|0|0|0|ESPUMANTES
