"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.12.2021","108.096","107.558","108.521","107.309","13,17M","0,50%"
"07.12.2021","107.558","106.868","108.655","106.868","11,77M","0,65%"
"06.12.2021","106.859","105.070","107.498","105.070","11,13M","1,70%"
"03.12.2021","105.070","104.467","106.814","104.090","14,58M","0,58%"
"02.12.2021","104.466","100.785","104.466","100.785","14,85M","3,66%"
"01.12.2021","100.775","101.916","104.087","100.727","13,76M","-1,12%"
"30.11.2021","101.915","102.814","103.066","100.075","18,20M","-0,87%"
"29.11.2021","102.814","102.227","104.149","102.226","10,28M","0,58%"
"26.11.2021","102.224","105.810","105.810","101.495","10,97M","-3,39%"
"25.11.2021","105.811","104.514","106.400","104.514","7,89M","1,24%"
"24.11.2021","104.514","103.652","105.041","102.464","10,47M","0,83%"
"23.11.2021","103.654","102.124","103.841","101.736","13,03M","1,50%"
"22.11.2021","102.122","103.036","104.613","102.122","10,41M","-0,89%"
"19.11.2021","103.035","102.426","103.975","102.143","11,10M","0,59%"
"18.11.2021","102.426","102.948","103.757","102.014","10,91M","-0,51%"
"17.11.2021","102.948","104.405","105.535","102.551","12,83M","-1,39%"
"16.11.2021","104.404","106.336","106.971","104.113","11,58M","-1,82%"
"12.11.2021","106.335","107.576","107.915","105.842","13,25M","-1,17%"
"11.11.2021","107.595","105.988","108.669","105.988","12,66M","1,54%"
"10.11.2021","105.968","105.535","107.407","105.140","12,28M","0,41%"
"09.11.2021","105.535","104.783","106.674","104.783","11,02M","0,72%"
"08.11.2021","104.781","104.824","105.679","104.182","9,36M","-0,04%"
"05.11.2021","104.824","103.412","105.555","103.412","12,59M","1,37%"
"04.11.2021","103.412","105.617","105.627","102.835","12,08M","-2,09%"
"03.11.2021","105.617","105.547","106.754","104.205","14,70M","0,06%"
"01.11.2021","105.551","103.514","106.136","103.514","10,73M","1,98%"
"29.10.2021","103.501","105.707","105.954","103.430","12,60M","-2,09%"
"28.10.2021","105.705","106.369","107.210","105.282","11,50M","-0,62%"
"27.10.2021","106.363","106.433","108.224","106.045","10,83M","-0,05%"
"26.10.2021","106.420","108.713","108.713","106.321","10,76M","-2,11%"
"25.10.2021","108.715","106.298","109.372","106.296","11,51M","2,28%"
