Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
69|Irã|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21|116|VINHOS DE MESA
70|Iraque|0|0|0|0|0|0|0|0|0|0|0|0|0|0|359|4084|2298|86|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
71|Irlanda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3969|5376|0|0|0|0|0|0|7560|0|29|36|VINHOS DE MESA
72|Itália|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|420|54953|2709|7209|0|1817|1458|11999|792|1710|604|0|585|468|3661|587|91|696|VINHOS DE MESA
73|Jamaica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|315|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
74|Japão|0|0|84|802|0|800|0|0|3108|2760|12870|1800|20754|900|1800|1800|45|2964|35647|38620|0|56630|42000|86120|109555|43806|89562|294275|1914668|1579024|672280|32073|135602|166028|426482|561411|325031|357943|232293|217974|112178|100835|29281|91988|106426|31597|34341|33909|36992|40621|36442|39491|VINHOS DE MESA
75|Jordânia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|240|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|0|VINHOS DE MESA
76|Letônia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|387|0|0|0|0|VINHOS DE MESA
77|Líbano|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4698|16906|0|0|0|1350|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
78|Libéria|4160|0|0|0|0|0|0|0|0|0|0|4083|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|658|4441|5155|7554|VINHOS DE MESA
79|Luxemburgo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4308|5850|1220|785|13606|7845|7344|9547|2444|5135|8281|2295|2759|2719|1778|1666|1086|0|VINHOS DE MESA
80|Malásia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|48|0|0|VINHOS DE MESA
81|Malta|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|503|3661|3490|3441|VINHOS DE MESA
82|Marshall, Ilhas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|923|7276|6270|8644|VINHOS DE MESA
83|Mauritânia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|VINHOS DE MESA
84|México|0|0|0|0|4055|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8948|0|0|0|20|0|0|0|2453|0|0|0|1350|0|0|1521|0|0|664|2748|4|24|9|VINHOS DE MESA
